"country","continent","year","lifeExp","pop","gdpPercap","meanSchool"
"Afghanistan","Asia",1972,36.088,13079460,739.9811058,1.1
"Afghanistan","Asia",1977,38.438,14880372,786.11336,1.4
"Afghanistan","Asia",1982,39.854,12881816,978.0114388,1.8
"Afghanistan","Asia",1987,40.822,13867957,852.3959448,2.1
"Afghanistan","Asia",1992,41.674,16317921,649.3413952,2.3
"Afghanistan","Asia",1997,41.763,22227415,635.341351,2.6
"Afghanistan","Asia",2002,42.129,25268405,726.7340548,2.9
"Afghanistan","Asia",2007,43.828,31889923,974.5803384,3.2
"Albania","Europe",1972,67.69,2263554,3313.422188,6.9
"Albania","Europe",1977,68.93,2509048,3533.00391,7.7
"Albania","Europe",1982,70.42,2780097,3630.880722,8.4
"Albania","Europe",1987,72,3075321,3738.932735,9.1
"Albania","Europe",1992,71.581,3326498,2497.437901,9.6
"Albania","Europe",1997,72.95,3428038,3193.054604,10.1
"Albania","Europe",2002,75.651,3508512,4604.211737,10.5
"Albania","Europe",2007,76.423,3600523,5937.029526,10.9
"Algeria","Africa",1972,54.518,14760787,4182.663766,2.1
"Algeria","Africa",1977,58.014,17152804,4910.416756,2.7
"Algeria","Africa",1982,61.368,20033753,5745.160213,3.4
"Algeria","Africa",1987,65.799,23254956,5681.358539,4.3
"Algeria","Africa",1992,67.744,26298373,5023.216647,5.2
"Algeria","Africa",1997,69.152,29072015,4797.295051,5.9
"Algeria","Africa",2002,70.994,31287142,5288.040382,6.6
"Algeria","Africa",2007,72.301,33333216,6223.367465,7.2
"Angola","Africa",1972,37.928,5894858,5473.288005,2.5
"Angola","Africa",1977,39.483,6162675,3008.647355,3.1
"Angola","Africa",1982,39.942,7016384,2756.953672,3.8
"Angola","Africa",1987,39.906,7874230,2430.208311,4.4
"Angola","Africa",1992,40.647,8735988,2627.845685,4.8
"Angola","Africa",1997,40.963,9875024,2277.140884,5.3
"Angola","Africa",2002,41.003,10866106,2773.287312,5.7
"Angola","Africa",2007,42.731,12420476,4797.231267,6
"Argentina","Americas",1972,67.065,24779799,9443.038526,7.3
"Argentina","Americas",1977,68.481,26983828,10079.02674,8
"Argentina","Americas",1982,69.942,29341374,8997.897412,8.6
"Argentina","Americas",1987,70.774,31620918,9139.671389,9.1
"Argentina","Americas",1992,71.868,33958947,9308.41871,9.6
"Argentina","Americas",1997,73.275,36203463,10967.28195,10.1
"Argentina","Americas",2002,74.34,38331121,8797.640716,10.6
"Argentina","Americas",2007,75.32,40301927,12779.37964,11
"Australia","Oceania",1972,71.93,13177000,16788.62948,10.2
"Australia","Oceania",1977,73.49,14074100,18334.19751,10.7
"Australia","Oceania",1982,74.74,15184200,19477.00928,11.1
"Australia","Oceania",1987,76.32,16257249,21888.88903,11.4
"Australia","Oceania",1992,77.56,17481977,23424.76683,11.7
"Australia","Oceania",1997,78.83,18565243,26997.93657,11.9
"Australia","Oceania",2002,80.37,19546792,30687.75473,12.1
"Australia","Oceania",2007,81.235,20434176,34435.36744,12.3
"Austria","Europe",1972,70.63,7544201,16661.6256,9.5
"Austria","Europe",1977,72.17,7568430,19749.4223,10.1
"Austria","Europe",1982,73.18,7574613,21597.08362,10.5
"Austria","Europe",1987,74.94,7578903,23687.82607,10.9
"Austria","Europe",1992,76.04,7914969,27042.01868,11.2
"Austria","Europe",1997,77.51,8069876,29095.92066,11.5
